t,v
3.4e-05,-0.189414
3.41e-05,-0.190434
3.42e-05,-0.191456
3.43e-05,-0.19248
3.44e-05,-0.193506
3.45e-05,-0.194534
3.46e-05,-0.195564
3.47e-05,-0.196596
3.48e-05,-0.19763
3.49e-05,-0.198665
3.5e-05,-0.199703
3.51e-05,-0.200743
3.52e-05,-0.201784
3.53e-05,-0.202828
3.54e-05,-0.203873
3.55e-05,-0.20492
3.56e-05,-0.205969
3.57e-05,-0.20702
3.58e-05,-0.208073
3.59e-05,-0.209128
3.6e-05,-0.210184
3.61e-05,-0.211243
3.62e-05,-0.212303
3.63e-05,-0.213365
3.64e-05,-0.214429
3.65e-05,-0.215495
3.66e-05,-0.216563
3.67e-05,-0.217632
3.68e-05,-0.218703
3.69e-05,-0.219776
3.7e-05,-0.220851
3.71e-05,-0.221928
3.72e-05,-0.223006
3.73e-05,-0.224086
3.74e-05,-0.225168
3.75e-05,-0.226252
3.76e-05,-0.227337
3.77e-05,-0.228425
3.78e-05,-0.229514
3.79e-05,-0.230604
3.8e-05,-0.231697
3.81e-05,-0.232791
3.82e-05,-0.233887
3.83e-05,-0.234984
3.84e-05,-0.236083
3.85e-05,-0.237184
3.86e-05,-0.238287
3.87e-05,-0.239391
3.88e-05,-0.240497
3.89e-05,-0.241605
3.9e-05,-0.242714
3.91e-05,-0.243825
3.92e-05,-0.244938
3.93e-05,-0.246052
3.94e-05,-0.247168
3.95e-05,-0.248285
3.96e-05,-0.249405
3.97e-05,-0.250525
3.98e-05,-0.251648
3.99e-05,-0.252772
4e-05,-0.253897
4.01e-05,-0.255024
4.02e-05,-0.256153
4.03e-05,-0.257283
4.04e-05,-0.258415
4.05e-05,-0.259549
4.06e-05,-0.260684
4.07e-05,-0.26182
4.08e-05,-0.262958
4.09e-05,-0.264098
4.1e-05,-0.265239
4.11e-05,-0.266381
4.12e-05,-0.267526
4.13e-05,-0.268671
4.14e-05,-0.269819
4.15e-05,-0.270967
4.16e-05,-0.272117
4.17e-05,-0.273269
4.18e-05,-0.274422
4.19e-05,-0.275577
4.2e-05,-0.276733
4.21e-05,-0.27789
4.22e-05,-0.279049
4.23e-05,-0.28021
4.24e-05,-0.281371
4.25e-05,-0.282535
4.26e-05,-0.283699
4.27e-05,-0.284865
4.28e-05,-0.286033
4.29e-05,-0.287202
4.3e-05,-0.288372
4.31e-05,-0.289544
4.32e-05,-0.290717
4.33e-05,-0.291891
4.34e-05,-0.293067
4.35e-05,-0.294244
4.36e-05,-0.295423
4.37e-05,-0.296603
4.38e-05,-0.297784
4.39e-05,-0.298967
4.4e-05,-0.30015
4.41e-05,-0.301336
4.42e-05,-0.302522
4.43e-05,-0.30371
4.44e-05,-0.304899
4.45e-05,-0.30609
4.46e-05,-0.307281
4.47e-05,-0.308474
4.48e-05,-0.309669
4.49e-05,-0.310864
4.5e-05,-0.312061
4.51e-05,-0.313259
4.52e-05,-0.314459
4.53e-05,-0.315659
4.54e-05,-0.316861
4.55e-05,-0.318064
4.56e-05,-0.319268
4.57e-05,-0.320474
4.58e-05,-0.321681
4.59e-05,-0.322889
4.6e-05,-0.324098
4.61e-05,-0.325308
4.62e-05,-0.32652
4.63e-05,-0.327732
4.64e-05,-0.328946
4.65e-05,-0.330161
4.66e-05,-0.331377
4.67e-05,-0.332595
4.68e-05,-0.333813
4.69e-05,-0.335033
4.7e-05,-0.336254
4.71e-05,-0.337475
4.72e-05,-0.338698
4.73e-05,-0.339923
4.74e-05,-0.341148
4.75e-05,-0.342374
4.76e-05,-0.343602
4.77e-05,-0.34483
4.78e-05,-0.34606
4.79e-05,-0.34729
4.8e-05,-0.348522
4.81e-05,-0.349755
4.82e-05,-0.350989
4.83e-05,-0.352224
4.84e-05,-0.35346
4.85e-05,-0.354697
4.86e-05,-0.355935
4.87e-05,-0.357174
4.88e-05,-0.358414
4.89e-05,-0.359655
4.9e-05,-0.360897
4.91e-05,-0.36214
4.92e-05,-0.363384
4.93e-05,-0.364629
4.94e-05,-0.365875
