t,i
5.2e-05,-0.674908
5.21e-05,-0.675436
5.22e-05,-0.675961
5.23e-05,-0.676482
5.24e-05,-0.677001
5.25e-05,-0.677517
5.26e-05,-0.678029
5.27e-05,-0.678539
5.28e-05,-0.679045
5.29e-05,-0.679549
5.3e-05,-0.680049
5.31e-05,-0.680546
5.32e-05,-0.68104
5.33e-05,-0.681532
5.34e-05,-0.68202
5.35e-05,-0.682505
5.36e-05,-0.682987
5.37e-05,-0.683466
5.38e-05,-0.683942
5.39e-05,-0.684415
5.4e-05,-0.684885
5.41e-05,-0.685351
5.42e-05,-0.685815
5.43e-05,-0.686276
5.44e-05,-0.686734
5.45e-05,-0.687188
5.46e-05,-0.68764
5.47e-05,-0.688089
5.48e-05,-0.688534
5.49e-05,-0.688977
5.5e-05,-0.689416
5.51e-05,-0.689853
5.52e-05,-0.690287
5.53e-05,-0.690717
5.54e-05,-0.691145
5.55e-05,-0.691569
5.56e-05,-0.69199
5.57e-05,-0.692409
5.58e-05,-0.692824
5.59e-05,-0.693237
5.6e-05,-0.693646
5.61e-05,-0.694053
5.62e-05,-0.694456
5.63e-05,-0.694857
5.64e-05,-0.695254
5.65e-05,-0.695648
5.66e-05,-0.69604
5.67e-05,-0.696428
5.68e-05,-0.696814
5.69e-05,-0.697196
5.7e-05,-0.697576
5.71e-05,-0.697952
5.72e-05,-0.698326
5.73e-05,-0.698696
5.74e-05,-0.699064
5.75e-05,-0.699428
5.76e-05,-0.69979
5.77e-05,-0.700149
5.78e-05,-0.700504
5.79e-05,-0.700857
5.8e-05,-0.701207
5.81e-05,-0.701554
5.82e-05,-0.701897
5.83e-05,-0.702238
5.84e-05,-0.702576
5.85e-05,-0.702911
5.86e-05,-0.703243
5.87e-05,-0.703572
5.88e-05,-0.703898
5.89e-05,-0.704221
5.9e-05,-0.704542
5.91e-05,-0.704859
5.92e-05,-0.705173
5.93e-05,-0.705485
5.94e-05,-0.705793
5.95e-05,-0.706099
5.96e-05,-0.706401
5.97e-05,-0.706701
5.98e-05,-0.706997
5.99e-05,-0.707291
6e-05,-0.707582
6.01e-05,-0.70787
6.02e-05,-0.708155
6.03e-05,-0.708437
6.04e-05,-0.708717
6.05e-05,-0.708993
6.06e-05,-0.709266
6.07e-05,-0.709537
6.08e-05,-0.709804
6.09e-05,-0.710069
6.1e-05,-0.710331
6.11e-05,-0.71059
6.12e-05,-0.710846
6.13e-05,-0.711099
6.14e-05,-0.711349
6.15e-05,-0.711596
6.16e-05,-0.711841
6.17e-05,-0.712082
6.18e-05,-0.712321
6.19e-05,-0.712557
6.2e-05,-0.71279
6.21e-05,-0.71302
6.22e-05,-0.713247
6.23e-05,-0.713471
6.24e-05,-0.713693
6.25e-05,-0.713911
6.26e-05,-0.714127
6.27e-05,-0.71434
6.28e-05,-0.71455
6.29e-05,-0.714757
6.3e-05,-0.714962
6.31e-05,-0.715163
6.32e-05,-0.715362
6.33e-05,-0.715557
6.34e-05,-0.71575
6.35e-05,-0.715941
6.36e-05,-0.716128
6.37e-05,-0.716312
6.38e-05,-0.716494
6.39e-05,-0.716673
6.4e-05,-0.716849
6.41e-05,-0.717022
6.42e-05,-0.717192
6.43e-05,-0.71736
6.44e-05,-0.717524
6.45e-05,-0.717686
6.46e-05,-0.717845
6.47e-05,-0.718002
6.48e-05,-0.718155
6.49e-05,-0.718306
6.5e-05,-0.718454
6.51e-05,-0.718599
6.52e-05,-0.718741
6.53e-05,-0.71888
6.54e-05,-0.719017
6.55e-05,-0.719151
6.56e-05,-0.719282
6.57e-05,-0.719411
6.58e-05,-0.719536
6.59e-05,-0.719659
6.6e-05,-0.719779
6.61e-05,-0.719896
6.62e-05,-0.720011
6.63e-05,-0.720123
6.64e-05,-0.720232
6.65e-05,-0.720338
6.66e-05,-0.720441
6.67e-05,-0.720542
6.68e-05,-0.72064
6.69e-05,-0.720736
6.7e-05,-0.720828
6.71e-05,-0.720918
6.72e-05,-0.721005
6.73e-05,-0.721089
6.74e-05,-0.721171
6.75e-05,-0.72125
6.76e-05,-0.721326
6.77e-05,-0.721399
6.78e-05,-0.72147
6.79e-05,-0.721538
6.8e-05,-0.721603
6.81e-05,-0.721666
6.82e-05,-0.721726
6.83e-05,-0.721783
6.84e-05,-0.721837
6.85e-05,-0.721889
6.86e-05,-0.721938
6.87e-05,-0.721984
6.88e-05,-0.722028
6.89e-05,-0.722069
6.9e-05,-0.722107
6.91e-05,-0.722143
6.92e-05,-0.722176
6.93e-05,-0.722206
6.94e-05,-0.722234
6.95e-05,-0.722259
6.96e-05,-0.722281
6.97e-05,-0.722301
6.98e-05,-0.722318
6.99e-05,-0.722332
7e-05,-0.722344
7.01e-05,-0.722353
7.02e-05,-0.722359
7.03e-05,-0.722363
7.04e-05,-0.722364
7.05e-05,-0.722362
7.06e-05,-0.722358
7.07e-05,-0.722351
7.08e-05,-0.722342
7.09e-05,-0.72233
7.1e-05,-0.722315
7.11e-05,-0.722298
7.12e-05,-0.722278
7.13e-05,-0.722255
7.14e-05,-0.72223
7.15e-05,-0.722203
7.16e-05,-0.722172
7.17e-05,-0.722139
7.18e-05,-0.722104
7.19e-05,-0.722066
7.2e-05,-0.722025
7.21e-05,-0.721982
7.22e-05,-0.721936
7.23e-05,-0.721888
7.24e-05,-0.721837
7.25e-05,-0.721783
7.26e-05,-0.721727
7.27e-05,-0.721668
7.28e-05,-0.721607
7.29e-05,-0.721543
7.3e-05,-0.721477
7.31e-05,-0.721408
7.32e-05,-0.721336
7.33e-05,-0.721262
7.34e-05,-0.721186
7.35e-05,-0.721107
7.36e-05,-0.721025
7.37e-05,-0.720941
7.38e-05,-0.720854
7.39e-05,-0.720765
7.4e-05,-0.720673
7.41e-05,-0.720579
7.42e-05,-0.720482
7.43e-05,-0.720383
7.44e-05,-0.720281
7.45e-05,-0.720177
7.46e-05,-0.72007
7.47e-05,-0.719961
7.48e-05,-0.719849
7.49e-05,-0.719735
7.5e-05,-0.719618
7.51e-05,-0.719499
7.52e-05,-0.719377
7.53e-05,-0.719253
7.54e-05,-0.719126
7.55e-05,-0.718997
7.56e-05,-0.718865
7.57e-05,-0.718731
7.58e-05,-0.718595
7.59e-05,-0.718456
7.6e-05,-0.718315
7.61e-05,-0.718171
7.62e-05,-0.718024
7.63e-05,-0.717876
7.64e-05,-0.717724
7.65e-05,-0.717571
7.66e-05,-0.717415
7.67e-05,-0.717256
7.68e-05,-0.717095
7.69e-05,-0.716932
7.7e-05,-0.716766
7.71e-05,-0.716598
7.72e-05,-0.716428
